,Country or Area,Year,Value
0,Australia,2017,554126.561371222
1,Australia,2016,546771.759766853
2,Australia,2015,535173.674335188
3,Australia,2014,524957.101166521
4,Australia,2013,530433.518838951
5,Australia,2012,540615.864771614
6,Australia,2011,538280.6113488079
7,Australia,2010,537275.249361242
8,Australia,2009,540913.370343524
9,Australia,2008,537031.991694962
10,Australia,2007,533138.415296519
11,Australia,2006,526437.290027263
12,Australia,2005,521801.01017380203
13,Australia,2004,515931.287064878
14,Australia,2003,498118.96201147296
15,Australia,2002,496318.640680003
16,Australia,2001,492461.68129655
17,Australia,2000,485018.615860451
18,Australia,1999,474027.42803065
19,Australia,1998,468405.894183365
20,Australia,1997,454629.299253913
21,Australia,1996,442506.13903951104
22,Australia,1995,434912.95084431104
23,Australia,1994,426304.96754597104
24,Australia,1993,426232.230118475
25,Australia,1992,425702.48290808796
26,Australia,1991,421381.462949911
27,Australia,1990,420315.323177502
28,Austria,2017,82261.4680517736
29,Austria,2016,79596.1117706574
30,Austria,2015,78897.25289771361
31,Austria,2014,76679.7631564696
32,Austria,2013,80352.5317286566
33,Austria,2012,79811.3249244446
34,Austria,2011,82460.2996722024
35,Austria,2010,84753.2570429149
36,Austria,2009,80328.5022386276
37,Austria,2008,86816.1810374282
38,Austria,2007,87472.7353224966
39,Austria,2006,90117.3112066677
40,Austria,2005,92566.55644507609
41,Austria,2004,91382.83733687269
42,Austria,2003,91788.39314546289
43,Austria,2002,86110.74229886281
44,Austria,2001,84324.3408999896
45,Austria,2000,80414.9804413009
46,Austria,1999,80105.1788612909
47,Austria,1998,81702.1554499336
48,Austria,1997,82405.0797947174
49,Austria,1996,82874.6650928722
50,Austria,1995,79584.03448067111
51,Austria,1994,76206.7200449807
52,Austria,1993,75932.2967895208
53,Austria,1992,75750.4334282945
54,Austria,1991,82349.3135573646
55,Austria,1990,78670.3437208631
56,Belarus,2017,93959.64446438401
57,Belarus,2016,91582.8849900479
58,Belarus,2015,89959.157151925
